time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
2028-01-01,-107.04,58.54,16.00,19.50,28.80,16.00,20.50,37.10,15.00,21.50,26.70
2029-01-01,-107.04,58.54,15.60,21.00,27.70,14.30,18.50,24.40,14.30,20.00,30.40
2030-01-01,-107.04,58.54,15.30,24.50,38.50,14.30,19.00,34.40,14.00,20.00,27.70
2031-01-01,-107.04,58.54,15.30,18.50,26.70,14.30,19.00,30.40,17.00,20.50,29.70
2032-01-01,-107.04,58.54,13.30,20.50,30.40,15.00,20.00,35.50,15.60,20.00,31.70
2033-01-01,-107.04,58.54,14.00,20.50,27.10,16.00,20.00,27.10,17.00,23.50,34.80
2034-01-01,-107.04,58.54,13.30,19.50,25.40,14.00,19.00,26.40,14.60,20.00,29.00
2035-01-01,-107.04,58.54,13.00,18.50,32.80,14.60,21.50,34.10,15.30,20.00,28.00
2036-01-01,-107.04,58.54,16.30,20.00,30.20,15.00,22.50,29.80,16.00,21.50,28.50
2037-01-01,-107.04,58.54,13.00,17.50,22.70,14.00,22.00,39.70,14.30,19.00,31.70
2038-01-01,-107.04,58.54,14.30,19.50,29.70,18.00,23.00,31.00,14.30,19.50,30.10
2039-01-01,-107.04,58.54,15.60,23.00,32.70,13.30,19.00,31.50,13.30,19.00,28.80
2040-01-01,-107.04,58.54,15.00,21.00,30.70,13.00,20.00,26.40,16.30,21.00,32.40
2041-01-01,-107.04,58.54,17.30,20.50,33.90,16.30,24.50,28.70,15.00,22.00,36.00
2042-01-01,-107.04,58.54,15.30,20.50,32.40,14.30,19.00,25.40,15.30,19.00,37.10
2043-01-01,-107.04,58.54,15.30,19.50,28.40,15.30,19.50,27.70,11.90,20.50,32.00
2044-01-01,-107.04,58.54,15.00,19.00,29.40,17.00,23.00,28.70,14.00,19.00,29.70
2045-01-01,-107.04,58.54,13.30,21.00,32.40,13.00,18.50,27.80,14.00,18.00,25.70
2046-01-01,-107.04,58.54,16.60,23.50,31.00,15.00,20.00,27.40,15.00,19.00,27.70
2047-01-01,-107.04,58.54,13.30,23.00,33.40,12.60,20.50,34.20,13.30,19.50,28.70
2048-01-01,-107.04,58.54,15.30,19.00,24.00,16.00,22.50,33.70,14.30,22.50,29.00
2049-01-01,-107.04,58.54,15.30,22.00,28.70,14.00,21.00,31.10,14.30,21.00,33.40
2050-01-01,-107.04,58.54,16.30,23.00,31.00,16.30,22.50,42.40,14.30,18.50,22.00
