time,lat,lon,rcp26_r20mm_p10,rcp26_r20mm_p50,rcp26_r20mm_p90,rcp45_r20mm_p10,rcp45_r20mm_p50,rcp45_r20mm_p90,rcp85_r20mm_p10,rcp85_r20mm_p50,rcp85_r20mm_p90
2027-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.50,2.00
2028-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,2.00
2029-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,1.70
2030-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,1.00,2.00
2031-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,0.50,1.00
2032-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,1.00,2.00
2033-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.00,2.00,0.00,1.00,1.00
2034-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,0.50,2.00,0.00,1.00,2.00
2035-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.50,3.00,0.00,0.00,1.70
2036-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.50,2.00,0.00,0.50,2.00
2037-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,1.70,0.00,0.00,2.70
2038-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,3.00,0.00,0.00,2.00
2039-01-01,58.54,-107.04,0.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,1.70
2040-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.50,1.70,0.00,0.00,2.00
2041-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,1.00,2.00,0.00,0.50,2.00
2042-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.50,2.00
2043-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.50,2.00,0.00,1.00,2.00
2044-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,1.00,1.70,0.00,0.00,2.00
2045-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2046-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.00,1.70,0.00,1.00,2.00
2047-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.00,2.00,0.00,1.00,1.00
2048-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,1.00,3.00
2049-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.70,0.00,0.00,1.70
2050-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.50,2.00,0.00,0.00,1.00
2051-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,1.00,2.00,0.00,0.00,2.00
2052-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,1.00,2.00,0.00,0.50,1.00
2053-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,1.70,0.00,1.00,1.70
2054-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.50,2.00,0.00,1.00,2.00
2055-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.50,1.70,0.00,0.00,1.70
2056-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00
2057-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,2.00
2058-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00
2059-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,1.00,2.00,0.00,0.50,2.00
2060-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.70,0.00,0.00,2.00
2061-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,1.00,2.00,0.00,0.50,2.00
2062-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00
2063-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,1.00,2.00,0.00,1.00,1.00
2064-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.50,2.00,0.00,1.00,2.00
2065-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,0.00,2.00,0.00,1.00,2.00
2066-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.50,2.00,0.00,0.00,1.70
2067-01-01,58.54,-107.04,0.00,0.00,2.80,0.00,1.00,2.00,0.00,1.00,2.00
2068-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,1.00,2.00,0.00,1.00,2.70
2069-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.50,2.00,0.00,1.00,2.70
2070-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,2.00
2071-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,1.70,0.00,1.00,2.00
2072-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2073-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.50,1.70,0.00,1.00,2.00
2074-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,1.70,0.00,1.00,2.00
2075-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.50,2.00,0.00,1.00,2.70
2076-01-01,58.54,-107.04,0.00,1.00,3.80,0.00,0.00,1.00,0.00,1.00,1.00
2077-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,1.00,2.70,0.00,0.00,2.00
2078-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,0.50,2.00,0.00,0.00,2.00
2079-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,1.00,3.00,0.00,1.00,2.70
2080-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.50,2.00,0.00,0.00,2.00
2081-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,2.00
2082-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,3.00
2083-01-01,58.54,-107.04,0.00,0.00,2.80,0.00,1.00,2.00,0.00,0.50,1.00
2084-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.50,3.00,0.00,0.50,2.00
2085-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,2.00
2086-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2087-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,1.70
2088-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,0.00,2.00,0.00,1.00,3.40
2089-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.00,1.70,0.00,0.00,2.00
2090-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,1.00,2.00,0.00,1.00,1.00
2091-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,1.00
2092-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,2.00,0.00,1.00,2.70
2093-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,0.50,2.70,0.00,0.00,1.00
2094-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.50,2.00,0.00,0.00,2.70
2095-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,2.00
2096-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,0.00,1.70,0.00,1.00,2.00
2097-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.50,2.00,0.00,1.00,2.00
