time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
2063-01-01,-120.04,49.62,12.30,17.50,26.10,15.00,27.50,41.70,12.00,20.50,40.70
2064-01-01,-120.04,49.62,15.00,21.50,30.70,13.30,21.00,29.80,15.00,20.00,33.70
2065-01-01,-120.04,49.62,13.30,18.00,42.80,13.60,21.50,35.10,15.30,21.00,37.80
2066-01-01,-120.04,49.62,14.00,19.00,34.70,13.60,18.00,38.40,14.60,24.00,33.10
2067-01-01,-120.04,49.62,12.30,20.00,25.70,13.30,18.50,30.80,15.00,23.00,36.90
2068-01-01,-120.04,49.62,13.60,21.00,36.50,16.00,22.00,33.40,14.30,28.00,40.00
2069-01-01,-120.04,49.62,13.30,20.50,33.40,13.30,21.00,34.10,13.30,22.00,36.10
2070-01-01,-120.04,49.62,13.90,21.00,34.10,13.30,22.50,34.80,15.00,19.50,31.70
2071-01-01,-120.04,49.62,13.60,19.50,28.40,17.00,27.00,40.40,16.00,21.00,28.00
2072-01-01,-120.04,49.62,13.00,21.00,43.50,14.30,22.00,32.70,14.30,20.00,37.00
2073-01-01,-120.04,49.62,13.00,18.00,27.70,16.00,21.00,33.70,12.60,19.00,36.60
2074-01-01,-120.04,49.62,14.60,21.00,36.70,14.30,23.50,37.40,14.30,18.00,32.20
2075-01-01,-120.04,49.62,12.30,21.00,34.20,15.00,20.50,32.00,12.30,19.00,31.10
2076-01-01,-120.04,49.62,13.30,19.50,31.90,16.30,24.50,33.10,17.00,23.50,44.10
2077-01-01,-120.04,49.62,14.30,22.50,33.80,14.30,22.00,39.50,14.30,19.50,37.50
2078-01-01,-120.04,49.62,13.60,19.50,39.00,16.60,24.50,49.70,13.30,22.50,47.50
2079-01-01,-120.04,49.62,12.30,19.00,32.40,15.30,21.00,32.70,15.30,21.00,32.00
2080-01-01,-120.04,49.62,15.30,21.00,34.70,14.30,19.50,31.70,14.60,23.50,47.80
2081-01-01,-120.04,49.62,14.30,20.50,38.50,14.30,22.00,34.70,14.60,22.00,35.50
2082-01-01,-120.04,49.62,15.00,19.00,29.70,13.00,19.00,26.70,13.60,24.00,32.10
2083-01-01,-120.04,49.62,13.30,20.50,27.80,14.30,19.50,31.70,15.00,20.00,35.50
2084-01-01,-120.04,49.62,13.00,21.00,32.70,14.60,22.50,32.70,14.00,24.50,41.40
2085-01-01,-120.04,49.62,13.30,18.00,31.40,13.60,20.00,31.70,15.00,25.00,33.70
2086-01-01,-120.04,49.62,14.00,19.00,34.70,14.00,21.50,32.40,16.00,20.50,35.80
2087-01-01,-120.04,49.62,15.30,19.50,26.00,16.30,23.50,37.70,17.30,22.00,45.40
2088-01-01,-120.04,49.62,14.30,22.00,30.10,15.30,20.00,29.70,15.30,22.00,31.40
2089-01-01,-120.04,49.62,13.30,19.50,33.30,13.90,19.00,29.20,17.30,24.00,44.80
2090-01-01,-120.04,49.62,12.30,17.50,26.70,16.00,23.00,35.70,14.00,26.50,49.00
2091-01-01,-120.04,49.62,15.60,21.00,37.30,17.00,24.00,36.80,13.00,22.50,40.80
