time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
2033-01-01,-116.71,57.87,17.60,23.50,41.40,16.30,24.50,39.30,16.00,22.00,40.20
2034-01-01,-116.71,57.87,18.30,25.50,42.10,17.30,23.00,34.80,16.30,22.00,28.00
2035-01-01,-116.71,57.87,17.00,24.00,40.50,16.30,22.00,35.90,17.30,27.50,37.80
2036-01-01,-116.71,57.87,20.00,25.00,39.70,18.00,27.00,41.40,18.60,23.50,36.40
2037-01-01,-116.71,57.87,18.00,20.50,32.20,18.00,25.00,33.70,17.00,22.50,29.40
2038-01-01,-116.71,57.87,16.00,23.00,30.00,17.00,23.50,38.70,19.00,23.00,32.70
2039-01-01,-116.71,57.87,19.30,23.00,31.10,21.00,25.00,35.00,17.30,24.50,33.70
2040-01-01,-116.71,57.87,19.00,24.00,34.80,19.00,23.00,32.70,19.30,25.00,34.70
2041-01-01,-116.71,57.87,17.00,23.50,31.70,18.30,24.00,34.00,16.00,20.50,35.10
2042-01-01,-116.71,57.87,17.60,25.50,36.60,21.00,24.00,36.10,18.30,25.00,37.50
2043-01-01,-116.71,57.87,16.30,24.00,42.50,19.30,27.00,32.00,16.00,21.00,33.40
2044-01-01,-116.71,57.87,18.00,22.50,32.40,17.00,23.50,32.70,16.30,23.00,33.20
2045-01-01,-116.71,57.87,16.00,21.50,37.70,16.60,25.00,37.10,17.60,25.00,40.10
2046-01-01,-116.71,57.87,20.30,23.50,39.40,18.00,24.00,36.50,18.00,21.50,32.40
2047-01-01,-116.71,57.87,17.00,27.00,40.70,18.00,22.00,35.50,17.00,22.50,35.70
2048-01-01,-116.71,57.87,19.30,24.00,31.40,17.30,24.50,38.70,15.30,22.50,29.70
2049-01-01,-116.71,57.87,17.60,25.50,44.50,17.30,23.50,31.70,17.60,25.00,45.60
2050-01-01,-116.71,57.87,16.00,25.50,43.40,18.00,24.00,30.80,17.60,24.00,34.70
2051-01-01,-116.71,57.87,14.30,21.00,29.50,17.00,24.00,37.10,17.30,24.50,35.10
2052-01-01,-116.71,57.87,18.00,24.50,34.00,16.30,22.00,35.00,16.30,24.50,30.10
2053-01-01,-116.71,57.87,17.30,25.00,39.80,15.90,24.00,38.80,17.30,25.00,35.40
2054-01-01,-116.71,57.87,15.60,22.50,38.70,15.00,23.00,30.00,16.30,19.50,27.00
2055-01-01,-116.71,57.87,17.30,24.50,36.00,17.00,24.00,29.70,16.30,26.00,37.70
2056-01-01,-116.71,57.87,17.00,25.00,37.40,17.30,23.00,31.70,19.00,24.50,31.00
2057-01-01,-116.71,57.87,16.00,23.50,31.40,17.30,22.50,32.10,19.00,25.00,31.10
2058-01-01,-116.71,57.87,18.30,25.00,40.40,15.30,24.50,36.10,15.30,21.00,33.40
2059-01-01,-116.71,57.87,16.60,21.50,30.90,18.60,24.00,36.40,16.30,20.00,31.20
2060-01-01,-116.71,57.87,18.00,25.00,35.50,16.30,22.50,30.90,16.60,23.00,31.00
2061-01-01,-116.71,57.87,15.60,25.00,41.40,16.30,22.00,32.80,16.00,21.00,27.40
2062-01-01,-116.71,57.87,17.30,22.50,30.70,17.30,23.50,29.80,20.30,25.00,35.70
2063-01-01,-116.71,57.87,15.30,21.50,38.40,19.00,23.00,32.10,15.60,25.00,33.10
2064-01-01,-116.71,57.87,18.00,23.00,36.00,18.30,22.50,31.00,18.00,23.50,30.00
2065-01-01,-116.71,57.87,18.00,25.50,39.00,19.20,25.00,35.40,17.00,23.00,33.40
2066-01-01,-116.71,57.87,15.90,22.00,35.50,16.00,23.00,31.40,17.00,25.50,29.70
2067-01-01,-116.71,57.87,16.30,22.00,30.80,16.30,22.00,31.10,18.60,26.00,43.70
2068-01-01,-116.71,57.87,15.60,24.00,36.10,16.30,25.50,40.40,16.30,21.00,34.10
2069-01-01,-116.71,57.87,15.30,22.50,36.70,18.60,28.50,35.70,15.00,23.00,31.00
2070-01-01,-116.71,57.87,16.30,23.50,38.70,15.00,22.50,36.50,18.00,25.00,32.00
2071-01-01,-116.71,57.87,16.30,27.00,32.70,14.60,23.00,34.40,18.00,22.50,32.70
2072-01-01,-116.71,57.87,15.60,21.50,32.70,17.00,21.50,38.00,16.30,20.50,25.00
2073-01-01,-116.71,57.87,15.60,21.00,28.00,17.00,21.00,45.20,17.00,24.00,31.00
2074-01-01,-116.71,57.87,16.60,23.50,31.00,18.00,21.50,33.90,15.00,21.00,29.00
2075-01-01,-116.71,57.87,17.30,25.00,34.00,19.00,26.00,36.40,15.60,23.00,30.40
2076-01-01,-116.71,57.87,16.90,23.00,35.70,16.90,23.00,36.10,19.00,25.50,34.70
2077-01-01,-116.71,57.87,15.30,22.50,32.00,15.50,22.00,33.00,21.00,23.00,31.70
2078-01-01,-116.71,57.87,18.00,24.50,29.80,16.30,24.00,34.60,18.00,22.00,34.70
2079-01-01,-116.71,57.87,15.30,23.50,40.00,16.30,24.50,34.00,17.00,21.00,34.70
2080-01-01,-116.71,57.87,16.30,25.50,36.70,17.60,24.50,31.80,18.90,25.50,36.80
2081-01-01,-116.71,57.87,15.30,22.50,37.50,17.00,24.50,36.10,17.30,24.50,32.40
2082-01-01,-116.71,57.87,16.60,22.50,36.00,16.60,24.00,32.00,14.00,22.50,39.90
2083-01-01,-116.71,57.87,18.30,25.00,35.90,16.30,23.00,36.50,16.00,21.00,38.10
2084-01-01,-116.71,57.87,17.00,23.50,41.80,16.30,25.50,40.00,17.30,22.50,37.50
2085-01-01,-116.71,57.87,16.30,23.00,38.40,18.30,24.50,39.70,18.30,24.50,34.20
2086-01-01,-116.71,57.87,17.30,23.00,33.00,17.90,24.00,34.50,16.30,24.00,32.40
2087-01-01,-116.71,57.87,14.60,23.00,41.50,18.00,23.00,32.40,16.30,23.50,33.40
2088-01-01,-116.71,57.87,18.00,24.00,34.00,17.90,30.00,40.10,15.30,24.50,31.00
2089-01-01,-116.71,57.87,16.60,22.50,32.00,17.00,21.00,35.70,18.00,23.50,43.50
2090-01-01,-116.71,57.87,17.00,25.00,33.40,18.30,26.50,43.10,16.60,25.00,39.70
2091-01-01,-116.71,57.87,16.60,21.50,27.40,16.30,23.00,30.00,17.00,25.00,33.00
2092-01-01,-116.71,57.87,15.60,22.00,35.40,17.30,22.00,33.70,16.00,22.00,28.50
2093-01-01,-116.71,57.87,18.00,22.50,34.80,14.30,24.00,33.60,16.30,23.00,31.00
