"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","63.8","","","","1"
"1993","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","71.3","","","","1"
"1994","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","87.0","","","","1"
"1995","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","96.2","","","","1"
"1996","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","101.0","","","","1"
"1997","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","98.1","","","","1"
"1998","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","98.1","","","","1"
"1999","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","74.5","","","","1"
"2000","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","61.5","","","","1"
"2001","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","74.2","","","","1"
"2002","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","96.8","","","","1"
"2003","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","92.1","","","","1"
"2004","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","93.7","","","","1"
"2005","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","72.9","","","","1"
"2006","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","72.7","","","","1"
"2007","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","100.0","","","","1"
"2008","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","137.2","","","","1"
"2009","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","115.7","","","","1"
"2010","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","113.0","","","","1"
"2011","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","144.1","","","","1"
"2012","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","152.8","","","","1"
"2013","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","152.2","","","","1"
"2014","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","121.4","","","","1"
"2015","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","125.1","","","","1"
"2016","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","128.3","","","","1"
"2017","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","134.4","","","","1"
"2018","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","134.2","","","","1"
"2019","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","121.7","","","","1"
"2020","Western Canada","","Oilseeds [A12]","Index, 2007=100","181","units","0","v66450133","9.4","126.7","","","","1"
"1992","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","61.6","","","","1"
"1993","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","63.3","","","","1"
"1994","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","72.2","","","","1"
"1995","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","83.1","","","","1"
"1996","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","99.6","","","","1"
